Actual word in English,Actual word in Hindi,Predicted word in Hindi
thermax,थरमैक्स,थरमैक्स
sikhaaega,सिखाएगा,सिखाएगा
learn,लर्न,लीयर
twitters,ट्विटर्स,टाइटर्स]
tirunelveli,तिरुनेलवेली,तिरुनेवली]#
independence,इंडिपेंडेंस,इंडीपेंडेंस
speshiyon,स्पेशियों,स्पेशियों
shurooh,शुरूः,शुरूह
kolhapur,कोल्हापुर,कोल्हापुर
ajhar,अजहर,अझर]
karaar,क़रार,करार]
anka,अंक,अंक
wpd,डब्ल्यूपीडी,वीपीडी]####
haashie,हाशिए,हाशी]
glendale,ग्लेंडल,ग्लेंडल
udhed,उधेड़,उधेड]
ekthi,इकठ्ठी,एकेथी]
idea,आईडिया,आईडीएआ
ambikapur,अम्बिकापुर,अंबिकापुर]
makerere,माकेरेरे,मकेरेर]#
saboodaane,साबूदाने,सबूदाने]
foohadta,फूहड़ता,फूहड़ता
sequent,सेक्वेंट,सिकेंट]#
shueb,शुऐब,शुएब
panihati,पानीहाटी,पनिहती]#
sametati,समेटती,समेतती
ukhrul,उखरुल,उखरूल
brahmlin,ब्रह्मलीन,ब्रह्मलिन
utaraadhikaaree,उतराधिकारी,उतराधिकारी
iqbal,इक़बाल,इक़बाल
dayaalapuraa,दयालपुरा,दयालापुर
sohrai,सोहराई,सोहराई
takreeban,तक़रीबन,तकरीबान
farrukhnagar,फर्रूखनगर,फर्रुखानग
theinga,ठेंगा,थेंगा
tyoiharon,त्यौहारों,त्योहरों]
karneshvardhaam,कर्णेश्वरधाम,कर्नेशवाश्रव
umanath,उमानाथ,उमनाथ]
daanshil,दानशील,डाँशिल
saahityotsav,साहित्योत्सव,साहित्योत्सव
shantiniketan,शांतिनिकेतन,शांतिनिकेतन
shikayatkarta,शिकायतकर्ता,शिकायकत्रता
andarkhane,अंदरखाने,अंदरखाने
panter,पंटर,पैंट
leedaron,लीडरों,लीडारो
galgand,गलगंड,गलगंड
kaarniyaan,कार्नियां,कारनियां]
murgipaalan,मुर्गीपालन,मुर्गीपालन
mushahid,मुशाहिद,मुशाहिद
modules,मॉड्यूल्स,मोडुलेस]#
rajouri,रजौरी,राजौर
sushrushaa,सुश्रुषा,सुश्रुषा
shringaar,शृंगार,शृंगार
holt,होल्ट,होल्ट
laigikata,लैंगिकता,लाईगकाता
ijaajat,इजाजत,इजाजत
vankshetra,वनक्षेत्र,वंक्षेत्र
bhutal,भूतल,भूतल
swaadpremiyon,स्वादप्रेमियों,स्वादप्रमियों]
nineteez,नाइनटीज,नितेनीस
frektar,फ्रेक्टर,फ्रेक्टर
likhkar,लिखकर,लिकखर
eyarkandeeshnar,एयरकंडीशनर,इयारकांडीश
nabz,नब्ज़,नब्ज़
quess,कुएस,क्वे
bouni,बौनी,बोनी
kaaragujaariyaan,कारगुजारियां,कारगुज़ारिया
gaangnam,गांगनाम,गाँगनाम
tapia,तापीया,तपिया]
tezpur,तेज़पुर,तेज़पुर
talve,तलवे,तालव
seemaai,सीमाई,सीमाई
darshnaarthi,दर्शनार्थी,दर्शनार्थी
rivas,रिवास,रिवास
tarkvaad,तर्कवाद,तरक्वाद
anusaarakaa,अनुसारका,अनुसारका
coachella,कोचेला,कोचेला
latakakar,लटककर,लटककर
patravaliyan,पत्रावलियां,पत्रवलियां]
parishad,परिषद,परिषद
spinj,स्पिन्ज,स्पिंज]
anshida,अनशिदा,अंशिदा
dejesus,डिजीसस,डेजस]#
saraaymohiuddinpur,सरायमोहिउद्दीनपुर,सारायमिहोंदिपुरुन
lowell,लॉवेल,लोवेल
capacitor,कैपेसिटर,कैपेसिटर
passengerjind,पैसेंजरजींद,पासेंजर्जिं
granthiyon,ग्रंथियों,ग्रंथियों
buena,बुएना,बुएना
canterbury,कैंटरबरी,केंटरबरी
kaathiyavadi,काठियावड़ी,काठियावाडी
tekchandani,टेकचंदानी,तेकचंडानी
fisad,फ़ीसद,फिसाद
beraharamee,बेरहरमी,बेराहरम
nishkarshah,निष्कर्षः,निष्कर्षः
activities,ऐक्टिविटीज,एक्टिविटीज
rikailleebreshan,रिकैलीब्रेशन,रिकालिबर्शन]
shasanadhikaariyon,शासनाधिकारियों,शसनाधिकारियों]
fijoolkharchi,फिजूलखर्ची,फिजोखरखाली
dablyoopeedee,डब्ल्यूपीडी,डब्लीपुडी]#
pace,पेस,पीस
dastar,दस्तार,दस्तर]
catlin,कैटलिन,कैटलिन
joddta,जोड़ता,जोड़ता
killat,किल्लत,किल्लत
gruhnagar,गृहनगर,गृहनगर
wonder,वंडर,वंडर
vatar,वाटर,वतर]
shving,श्विंग,श्विंग
pashtun,पश्तून,पाष्टु
farm,फार्म,फार्म
dibanu,डिबनू,दिबान
pashchamee,पश्चमी,पश्चाम
uthapatak,उठापटक,उठापटक
nilaabh,नीलाभ,निलाभ
laxmeeniyaan,लक्ष्मीनियां,लक्षमिनियां]
mahaanagarawaasiyon,महानगरवासियों,महानागरावासिय
upneta,उपनेता,उपनेटा
convention,कन्वेंशन,कनवेशन]#
sharp,शाॅर्प,शर्प]#
kaaryayojana,कार्ययोजना,कार्ययोजना
maas,मास,मास
westing,वेस्टिंग,वेस्टिंग
kurvetee,कुर्वेती,कुर्वेती
jyaada,ज़यादा,ज्याडा
mukeshvari,मुकेश्वरी,मुकेशवारी
shrimati,श्रीमति,श्रीमति
vivekadhikaron,विवेकाधिकारों,विवेकाधिकारों
loksabhavalee,लोकसभावाली,लोकसभवाली]
kabahaa,कबहा,कबाह
bhraantiyon,भ्रांतियों,भ्रांतियों
vivekahin,विवेकहीन,विवेकहिन
balmiki,बाल्मीकि,बालमिकी]
haryana,हरयाणा,हर्यना
jivraj,जीवराज,जीवराज
flynn,फ्लिन,फ्लाय
rana,राणा,रना]
vishnupura,विष्णुपुरा,विष्णुपुरा
ghotaalebaajon,घोटालेबाजों,घोटलेबाजीन]
hairatangenz,हैरतअंगेज़,हैराटेंजें
takaleephadeh,तकलीफ़देह,तकलीपधें]
peepaadh,पीपाड़,पीपाध]
