Actual word in English,Actual word in Hindi,Predicted word in Hindi
thermax,थरमैक्स,थर्मैक्
sikhaaega,सिखाएगा,सिखाएगा
learn,लर्न,लियर
twitters,ट्विटर्स,ट्विटर्स
tirunelveli,तिरुनेलवेली,तिरुनेलेवील
independence,इंडिपेंडेंस,इंडेपेंडेसे
speshiyon,स्पेशियों,स्पेशियों
shurooh,शुरूः,शूरू]
kolhapur,कोल्हापुर,कोल्हापुर
ajhar,अजहर,अझर]
karaar,क़रार,करार]
anka,अंक,अंक
wpd,डब्ल्यूपीडी,वीपीडी]####
haashie,हाशिए,हाशिए
glendale,ग्लेंडल,ग्लेंडल
udhed,उधेड़,उधेद]
ekthi,इकठ्ठी,एकठी]#
idea,आईडिया,आईडीआई
ambikapur,अम्बिकापुर,अंबीकापुर]
makerere,माकेरेरे,मैकेरेर]
saboodaane,साबूदाने,सबुदाने]
foohadta,फूहड़ता,फूहदता]
sequent,सेक्वेंट,सिक्यूट]
shueb,शुऐब,शुब]
panihati,पानीहाटी,पनिहति]#
sametati,समेटती,समेतात
ukhrul,उखरुल,उखरूल
brahmlin,ब्रह्मलीन,ब्रह्लमन]
utaraadhikaaree,उतराधिकारी,उतराधिकारी
iqbal,इक़बाल,आईकबीए
dayaalapuraa,दयालपुरा,दयालपुरा
sohrai,सोहराई,सोहराई
takreeban,तक़रीबन,तकरीबन]
farrukhnagar,फर्रूखनगर,फर्रुखानग
theinga,ठेंगा,थींगा
tyoiharon,त्यौहारों,तियोहरों]
karneshvardhaam,कर्णेश्वरधाम,कर्नेश्वरामध
umanath,उमानाथ,उमानाथ
daanshil,दानशील,दांशिल
saahityotsav,साहित्योत्सव,साहित्यतेस्त
shantiniketan,शांतिनिकेतन,शान्तिनिकते
shikayatkarta,शिकायतकर्ता,शिकायत्तरक्
andarkhane,अंदरखाने,अंदरखाने
panter,पंटर,पंटर
leedaron,लीडरों,लीडरों
galgand,गलगंड,गालगं
kaarniyaan,कार्नियां,कार्णियाँ
murgipaalan,मुर्गीपालन,मुर्गीपालन
mushahid,मुशाहिद,मुशाहिद
modules,मॉड्यूल्स,मोडल्स]##
rajouri,रजौरी,राजौर
sushrushaa,सुश्रुषा,सुश्रशा]
shringaar,शृंगार,श्रींग
holt,होल्ट,होल्ट
laigikata,लैंगिकता,लाईगीकता
ijaajat,इजाजत,इजाजत
vankshetra,वनक्षेत्र,वंकशेत्र]
bhutal,भूतल,भुटल
swaadpremiyon,स्वादप्रेमियों,स्वाद्रप्यमियो
nineteez,नाइनटीज,नितेनीज
frektar,फ्रेक्टर,फ्रेक्टर
